"Genre" "name"
"Glycydendron_Indet." "Glycydendron" "Glycydendron_Indet."
"Ocotea_amazonica" "Ocotea" "Ocotea_amazonica"
"Swartzia_leblondii" "Swartzia" "Swartzia_leblondii"
"Chaetocarpus_Indet." "Chaetocarpus" "Chaetocarpus_Indet."
"Inga_pezizifera" "Inga" "Inga_pezizifera"
"Lueheopsis_Indet." "Lueheopsis" "Lueheopsis_Indet."
"Guatteria_citriodora" "Guatteria" "Guatteria_citriodora"
"Vismia_guianensis" "Vismia" "Vismia_guianensis"
"Eriotheca_Indet." "Eriotheca" "Eriotheca_Indet."
"Couepia_Indet." "Couepia" "Couepia_Indet."
"Chaunochiton_Indet." "Chaunochiton" "Chaunochiton_Indet."
"Inga_alba" "Inga" "Inga_alba"
"Aspidosperma_album" "Aspidosperma" "Aspidosperma_album"
"Ocotea_cinerea" "Ocotea" "Ocotea_cinerea"
"Couratari_Indet." "Couratari" "Couratari_Indet."
"Drypetes_Indet." "Drypetes" "Drypetes_Indet."
"Pradosia_Indet." "Pradosia" "Pradosia_Indet."
"Trichilia_Indet." "Trichilia" "Trichilia_Indet."
"Eperua_Indet." "Eperua" "Eperua_Indet."
"Ocotea_splendens" "Ocotea" "Ocotea_splendens"
"Schefflera_Indet." "Schefflera" "Schefflera_Indet."
"Byrsonima_aerugo" "Byrsonima" "Byrsonima_aerugo"
"Brosimum_guianense" "Brosimum" "Brosimum_guianense"
"Eugenia_sp.FG9-Holst" "Eugenia" "Eugenia_sp.FG9-Holst"
"Hymenolobium_flavum" "Hymenolobium" "Hymenolobium_flavum"
"Tovomita_sp.9CAY-ATDN" "Tovomita" "Tovomita_sp.9CAY-ATDN"
"Chrysophyllum_pomiferum" "Chrysophyllum" "Chrysophyllum_pomiferum"
"Caraipa_densifolia" "Caraipa" "Caraipa_densifolia"
"Sterculia_multiovula" "Sterculia" "Sterculia_multiovula"
"Chaetocarpus_sp.1" "Chaetocarpus" "Chaetocarpus_sp.1"
"Cybianthus_microbotrys" "Cybianthus" "Cybianthus_microbotrys"
"Trymatococcus_amazonicus" "Trymatococcus" "Trymatococcus_amazonicus"
"Siparuna_cuspidata" "Siparuna" "Siparuna_cuspidata"
"Protium_trifoliolatum" "Protium" "Protium_trifoliolatum"
"Amaioua_guianensis" "Amaioua" "Amaioua_guianensis"
